Component,Manufacturer Part Number,Manufacturer1 Part Number,References,Quantity Per PCB,Part,Value,Footprint,SMD,Mounted,Part Description,Pin Count,Part Number,Val
93,INA219BIDCNT,,U17 U32,2,INA219BIDCNT,INA219BIDCNT,SOT65P280X145-8N,Yes,Yes,"Zero-Drift, Bi-Directional CURRENT/POWER MONITOR with I2C™ Interface",8,INA219BIDCNT,
94,LM336M-2.5,,U14,1,LM336M-2.5-clocks-SchDoc-cache-AMC_FMC_Carrier-PcbDoc-rescue,LM336M-2.5,SOIC127P600X175-8N,,,,,,
95,LM75AIMM/NOPB,,U28 U29,2,LM75B-Sensor_Temperature-AMC_FMC_Carrier-PcbDoc-rescue,LM75AIMM/NOPB,SOP65P490X109-8N,,,,,,
96,LP5951MF-3.0/NOPB,,U13,1,LP5951-clocks-SchDoc-cache-AMC_FMC_Carrier-PcbDoc-rescue,LP5951MF-3.0/NOPB,SOT95P284X122-5N,,,,,,
97,"LPC1776FET180,551",,U2,1,"LPC1776FET180,551-lpc1776fet180,551-AMC_FMC_Carrier-PcbDoc-rescue","LPC1776FET180,551",BGA180C80P14X14_1200X1200X120,,,,,,
98,M93C46-WMN6TP,,U21,1,M93C46-WMN6TP-Logic,M93C46-WMN6TP,SOIC127P600X175-8N,Yes,Yes,1Kbit (128 x 8 bit or 64 x 16 bit) MICROWIRE® Serial Access EEPROM,8,M93C46-WMN6TP,
99,MAX6639AEE+,,U27,1,MAX6639AEE+,MAX6639AEE+,SOP63P600X175-16N,Yes,Yes,"2-Channel Temperature Monitor with Dual, Automatic, PWM Fan-Speed Controller",16,MAX6639AEE+,
100,MC78L05ACDG,,U12,1,MC78L05ACDG,MC78L05ACDR2G,SOIC127P600X175-8N,Yes,Yes,5V 100mA Positive Voltage Regulators,8,MC78L05ACDG,
101,MT41K512M16HA-125:E (AS4C512M16D3L-12BCN),,U3,1,MT41K512M16HA-125_E-Logic,MT41K512M16HA-125_E,BGA96C80P9X16_900X1400X120,Yes,Yes,"+1.35V, 8Gb (64 Meg x 16 x 8 banks) DDR3L SDRAM",96,MT41K512M16HA-125:E,
102,NC7SZ66P5X,,U7 U10,2,NC7SZ66P5X-Standard_Logic,NC7SZ66P5X,SOT65P210X110-5N,Yes,Yes,Low Voltage Single SPST Normally Open Bus Switch,5,NC7SZ66P5X,
103,NCP186AMX120TAG,,U37,1,NCP186AMX120TAG-powerMG-AMC_FMC_Carrier-PcbDoc-rescue,NCP186AMX120TAG,SOIC-8,,,,,,
104,NCP186AMX180TAG,,U36,1,NCP186AMX120TAG-powerMG-AMC_FMC_Carrier-PcbDoc-rescue,NCP186AMX180TAG,SOIC-8,,,,,,
105,PCA9555AHF,,U34 U39,2,PCA9555AHF,PCA9555AHF,QFN50P400X400X80-25N-S225,Yes,Yes,Low-Voltage 16-Bit I2C-bus I/O Port With Interrupt and Weak Pull-Up,25,PCA9555AHF,
